Data,Nowe zgony,Nowe wyzdrowienia,Zmiana liczby aktywnych przypadków
3.03,0,0,0
4.03,0,0,1
5.03,0,0,0
6.03,0,0,4
7.03,0,0,1
8.03,0,0,5
9.03,0,0,6
10.03,0,0,5
11.03,0,0,9
12.03,1,0,19
13.03,1,0,16
14.03,1,0,35
15.03,0,0,21
16.03,1,0,51
17.03,1,1,59
18.03,0,0,49
19.03,0,0,68
20.03,0,0,70
21.03,0,0,111
22.03,2,0,96
23.03,1,0,114
24.03,2,0,150
25.03,3,0,147
26.03,3,0,167
27.03,0,0,168
28.03,2,0,247
29.03,4,0,220
30.03,9,0,184
31.03,2,0,254
1.04,10,0,233
2.04,14,0,378
3.04,14,0,423
4.04,8,115,121
5.04,15,18,442
6.04,13,28,270
7.04,22,29,384
8.04,29,31,297
9.04,16,62,292
10.04,7,34,339
11.04,27,57,317
12.04,24,64,230
13.04,13,48,197
14.04,18,131,121
15.04,23,50,307
16.04,28,106,202
17.04,18,92,347
18.04,15,115,204
19.04,13,59,443
20.04,20,93,193
21.04,20,164,79
22.04,25,216,72
23.04,28,227,87
24.04,40,204,137
25.04,30,182,169
26.04,12,139,193
27.04,26,201,58
28.04,34,189,93
29.04,28,370,24
30.04,20,211,69
1.05,7,255,-34
2.05,12,271,-13
3.05,15,183,120
4.05,19,150,144
5.05,19,185,202
6.05,18,375,-82
7.05,22,207,74
8.05,20,322,-5
9.05,9,253,26
10.05,15,261,69
11.05,11,118,201
12.05,28,315,213
13.05,23,279,20
14.05,22,286,103
15.05,24,222,155
16.05,8,257,-24
17.05,10,276,-14
18.05,11,177,168
19.05,12,275,95
20.05,14,280,177
21.05,10,269,124
22.05,10,279,182
23.05,11,246,58
24.05,3,217,141
25.05,11,82,248
26.05,17,744,-318
27.05,4,310,83
28.05,10,230,112
29.05,13,132,187
30.05,10,324,78
31.05,3,255,-39
1.06,10,178,187
2.06,18,277,-59
3.06,23,288,-19
4.06,2,213,146
5.06,20,183,159
6.06,14,231,331
7.06,4,214,357
8.06,9,143,447
9.06,19,198,183
10.06,23,215,44
11.06,9,285,65
12.06,7,109,260
13.06,15,299,126
14.06,10,122,243
15.06,9,157,230
16.06,16,271,120
17.06,14,267,169
18.06,30,396,-112
19.06,18,381,-47
20.06,12,483,-186
21.06,10,502,-201
22.06,3,393,-100
